reward_mode,gamma,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.5,linear,3,6,3,0,-0.9908126264749076,-0.19462234370524398,-0.3366847248476936,-0.33746575691105224,-0.19462234370524398,down,False
sparse,0.5,linear,3,6,3,1,-0.8118943265292574,-0.200022007304268,-0.34559370115705107,-0.2560070027102397,-0.200022007304268,down,False
sparse,0.5,linear,3,6,4,0,-0.9363578526360268,-0.19659167985201764,-0.2744627002739946,-0.23406419016520158,-0.19659167985201764,down,False
sparse,0.5,linear,3,6,4,1,-1.007809122791766,-0.1999804096806796,-0.22687282397244599,-0.3540333363078694,-0.1999804096806796,down,False
sparse,0.5,linear,3,6,5,0,-0.8531785933800536,-0.19842779086642254,-0.2564872246716775,-0.21314703666841858,-0.19842779086642254,down,False
sparse,0.5,linear,3,6,5,1,-0.7708376852175682,-0.19995470600465687,-0.32669148450646746,-0.27176577005053487,-0.19995470600465687,down,False
sparse,0.5,linear,3,6,6,0,-0.25319782090667337,-0.2232042559349836,-0.19914088882057135,-0.9149598970965191,-0.19914088882057135,left,False
sparse,0.5,linear,3,6,6,1,-0.3087760476656809,-0.21767988487383416,-0.19990228258356216,-0.7039049359306311,-0.19990228258356216,left,False
sparse,0.5,linear,3,6,11,0,-0.26525740118563906,-0.22464896128294023,-0.8929684290692178,-0.5075183244219195,-0.22464896128294023,down,False
sparse,0.5,linear,3,6,11,1,-1.0067441625824463,-0.2943818099127164,-0.9844887637922024,-0.5382589193831661,-0.2943818099127164,down,False
sparse,0.5,linear,3,6,12,0,-0.2019913658896254,-0.20206356010997922,-0.2198802220633147,-0.19998771964842205,-0.19998771964842205,right,False
sparse,0.5,linear,3,6,12,1,-0.19667272432797614,-0.21988850727385664,-0.2392770327082821,-0.19373946030038824,-0.19373946030038824,right,False
sparse,0.5,linear,3,6,13,0,-0.199992639047727,-0.199988531232263,-0.19999005967114974,-0.20004962765398857,-0.199988531232263,down,False
sparse,0.5,linear,3,6,13,1,-0.19658478510741892,-0.1795570368007483,-0.19723727022290355,-0.1918125824482637,-0.1795570368007483,down,False
sparse,0.5,linear,3,6,14,0,-0.19998976155476852,-0.20002299370475907,-0.199989922244383,-0.1999894896625885,-0.1999894896625885,right,False
sparse,0.5,linear,3,6,14,1,-0.1970696638857441,-0.19698413680079563,-0.1923317192595286,-0.19555791692615246,-0.1923317192595286,left,False
sparse,0.5,linear,3,6,15,0,-0.20001838833275012,-0.19999140517609396,-0.1999902045503869,-0.19999010691447944,-0.19999010691447944,right,False
sparse,0.5,linear,3,6,15,1,-0.19539247683899744,-0.19353973923408377,-0.19567592420590058,-0.20155174677291632,-0.19353973923408377,down,False
sparse,0.5,linear,3,6,16,0,-0.22584142355243322,-0.33016160674703726,-0.1999898594207598,-0.8705198020352607,-0.1999898594207598,left,False
sparse,0.5,linear,3,6,16,1,-0.277712574680754,-0.26265153182841927,-0.19966170075942977,-0.5460752003354904,-0.19966170075942977,left,False
sparse,0.5,linear,3,7,1,0,-0.2053194816253574,-0.383843299314879,-0.9967411021557886,-0.19531296070318216,-0.19531296070318216,right,False
sparse,0.5,linear,3,7,1,1,-0.3779978152089948,-0.2285102136413394,-0.9750539690317819,-0.20058173574333674,-0.20058173574333674,right,False
sparse,0.5,linear,3,7,2,0,-0.19837022523375875,-0.19736964131279444,-0.1985691278825371,-0.1934473459023696,-0.1934473459023696,right,False
sparse,0.5,linear,3,7,2,1,-0.20029599207285168,-0.20039350302830694,-0.20058226614972557,-0.20002533312348186,-0.20002533312348186,right,False
sparse,0.5,linear,3,7,3,0,-0.19679834200749485,-0.18168490372333426,-0.19685185184359896,-0.1965418281759076,-0.18168490372333426,down,False
