reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,6,15,1,-0.17556192980721821,down,False
sparse,0.5,6,16,0,-0.19999846139959201,left,False
sparse,0.5,6,16,1,-0.18870539601422412,left,False
sparse,0.5,7,1,0,-0.19510586716039993,right,False
sparse,0.5,7,1,1,-0.20216923959674465,right,False
sparse,0.5,7,2,0,-0.1885196827838123,right,False
sparse,0.5,7,2,1,-0.20010404936978493,right,False
sparse,0.5,7,3,0,-0.17295942405954048,down,False
sparse,0.5,7,3,1,-0.19998289706757616,right,False
sparse,0.5,7,4,0,-0.18739172124133774,down,False
sparse,0.5,7,4,1,-0.1999447540161785,right,False
sparse,0.5,7,5,0,-0.1942473631201353,left,False
sparse,0.5,7,5,1,-0.19987579485435014,right,False
sparse,0.5,7,6,0,-0.19739447224980328,left,False
sparse,0.5,7,6,1,-0.19972602303805903,right,False
sparse,0.5,7,7,0,-0.19894700241432633,down,False
sparse,0.5,7,7,1,-0.1993932134337966,down,False
sparse,0.5,7,8,0,-0.19873081042240262,down,False
sparse,0.5,7,8,1,-0.1986632559941764,down,False
sparse,0.5,7,9,0,-0.1993304650336397,down,False
sparse,0.5,7,9,1,-0.19708061250051306,down,False
sparse,0.5,7,10,0,-0.19968734148711165,down,False
sparse,0.5,7,10,1,-0.1936401281816505,down,False
sparse,0.5,7,11,0,-0.1998560019653623,down,False
sparse,0.5,7,11,1,-0.18618269295832196,down,False
sparse,0.5,7,12,0,-0.19993338266715993,left,False
sparse,0.5,7,12,1,-0.1702201374259975,down,False
sparse,0.5,7,13,0,-0.19996924189436405,left,False
sparse,0.5,7,13,1,-0.13978425461335214,down,False
sparse,0.5,7,14,0,-0.19998581926506304,left,False
sparse,0.5,7,14,1,-0.11141021366993348,down,False
sparse,0.5,7,15,0,-0.1999934937466895,left,False
sparse,0.5,7,15,1,-0.1450655075740133,down,False
sparse,0.5,7,16,0,-0.19999701920064958,left,False
sparse,0.5,7,16,1,-0.17461920207977735,left,False
sparse,0.5,8,1,0,-0.18592587017956427,right,False
sparse,0.5,8,1,1,-0.23197202686667107,right,False
