reward_mode,gamma,lambda,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.9,0.0,exponential,3,1,8,1,-1.2840027377735288,-0.6424623201947979,-0.7097970356341161,-0.758983873032213,-0.6424623201947979,down,False
sparse,0.9,0.0,exponential,3,1,9,0,-2.192417643007278,-1.0395764220542405,-1.4578925732076058,-1.3826303076900286,-1.0395764220542405,down,False
sparse,0.9,0.0,exponential,3,1,9,1,-1.3640617002140503,-0.603669294127503,-0.6561864362805204,-0.6382517273279626,-0.603669294127503,down,False
sparse,0.9,0.0,exponential,3,1,10,0,-1.9886258629641216,-1.2245813968956367,-1.4538017559866387,-1.4114052669476183,-1.2245813968956367,down,False
sparse,0.9,0.0,exponential,3,1,10,1,-1.2720676491385563,-0.5643628338522599,-0.6225863943741072,-0.6320438450436948,-0.5643628338522599,down,False
sparse,0.9,0.0,exponential,3,1,11,0,-2.1186028389098226,-1.3285608294551294,-1.5949072305676815,-1.728286852166263,-1.3285608294551294,down,False
sparse,0.9,0.0,exponential,3,1,11,1,-1.2669778265835603,-0.5528327702191648,-0.6559833894960514,-0.7257662430036739,-0.5528327702191648,down,False
sparse,0.9,0.0,exponential,3,1,12,0,-2.2621710608770247,-1.4099177305577002,-1.6410007314204749,-1.714937591639565,-1.4099177305577002,down,False
sparse,0.9,0.0,exponential,3,1,12,1,-1.2241612633801093,-0.57437058967109,-0.5780963125120824,-0.5617528761574682,-0.5617528761574682,right,False
sparse,0.9,0.0,exponential,3,1,13,0,-2.4053818167506007,-1.5940493425539422,-1.6981794594911008,-1.7835375079930256,-1.5940493425539422,down,False
sparse,0.9,0.0,exponential,3,1,13,1,-1.0034387068886568,-0.6922752424900677,-0.6421713326482832,-1.4312894310457978,-0.6421713326482832,left,False
sparse,0.9,0.0,exponential,3,1,14,0,-2.27238525274585,-1.5727413056640591,-1.9439687238091286,-1.8298409738288708,-1.5727413056640591,down,False
sparse,0.9,0.0,exponential,3,1,14,1,-1.3149673197956322,-0.5568806310850994,-0.6010490997913269,-0.5584318147969739,-0.5568806310850994,down,False
sparse,0.9,0.0,exponential,3,1,15,0,-2.449774669006235,-1.5571386919989303,-1.702688481881022,-1.9222502908473507,-1.5571386919989303,down,False
sparse,0.9,0.0,exponential,3,1,15,1,-0.9765739466424868,-0.5366469760789334,-0.5640175374792491,-0.7887803330243818,-0.5366469760789334,down,False
sparse,0.9,0.0,exponential,3,1,16,0,-2.659737697336172,-1.7482494244591826,-1.827505152284173,-2.8432398498450198,-1.7482494244591826,down,False
sparse,0.9,0.0,exponential,3,1,16,1,-1.2274022173759018,-0.7136804135975895,-0.6968681931531225,-1.2629980243084231,-0.6968681931531225,left,False
sparse,0.9,0.0,exponential,3,2,1,0,-0.9160374998331533,-1.2318370992323813,-1.420846935963562,0.16892079199083976,0.16892079199083976,right,False
sparse,0.9,0.0,exponential,3,2,1,1,-0.7140414610954244,-0.6005445323117815,-0.8690881099290164,-0.5567789402833933,-0.5567789402833933,right,False
sparse,0.9,0.0,exponential,3,2,2,0,-0.3018537799052777,-0.3235586430711697,-0.27252370390731656,0.40498273112319594,0.40498273112319594,right,False
sparse,0.9,0.0,exponential,3,2,2,1,-0.5996036421921573,-0.7025649180937307,-0.5521428856271876,-0.6431285329090728,-0.5521428856271876,left,False
sparse,0.9,0.0,exponential,3,2,3,0,-0.15580491125201393,-0.05304675188791242,-0.16713974521086797,0.5796616553937505,0.5796616553937505,right,False
sparse,0.9,0.0,exponential,3,2,3,1,-0.5494450054018568,-0.9959138321372607,-0.8963896278149297,-0.5566433406877944,-0.5494450054018568,up,False
sparse,0.9,0.0,exponential,3,2,4,0,0.12807771370190912,0.4540694099017314,-0.03808159597196967,0.9001100157879807,0.9001100157879807,right,False
sparse,0.9,0.0,exponential,3,2,4,1,-0.638066368199539,-0.6574445964421893,-0.6497692668219948,-0.6552150967650212,-0.638066368199539,up,False
sparse,0.9,0.0,exponential,3,2,5,0,0.12534597081381352,0.6522664529821247,0.5096748696735356,1.2026631133631773,1.2026631133631773,right,False
sparse,0.9,0.0,exponential,3,2,5,1,-0.6384503683584972,-0.6271145045390212,-0.6249822025355889,-1.176006068650519,-0.6249822025355889,left,False
sparse,0.9,0.0,exponential,3,2,6,0,0.2795376513003817,1.5080087591503357,0.7032591715102164,1.2690278522039824,1.5080087591503357,down,False
sparse,0.9,0.0,exponential,3,2,6,1,-0.5981869653161144,-0.6054806185320863,-0.6013435235724425,-0.9293955846433809,-0.5981869653161144,up,False
sparse,0.9,0.0,exponential,3,2,7,0,-0.6794340860073962,1.8788448150789332,0.3846130158321834,0.37981402607814535,1.8788448150789332,down,False
sparse,0.9,0.0,exponential,3,2,7,1,-0.6373356907237159,-0.9654416247079459,-0.623627924530562,-0.6250535023179938,-0.623627924530562,left,False
sparse,0.9,0.0,exponential,3,2,8,0,-0.7799211906528127,2.2732697611471453,-0.9823168723057327,-0.8384621318413423,2.2732697611471453,down,False
sparse,0.9,0.0,exponential,3,2,8,1,-0.7439809610666808,-0.6732557526569602,-0.6592292823063352,-0.6637263608850547,-0.6592292823063352,left,False
sparse,0.9,0.0,exponential,3,2,9,0,-1.2783879223074384,0.8438533648322062,-0.7824452772409816,-1.1430799502594042,0.8438533648322062,down,False
sparse,0.9,0.0,exponential,3,2,9,1,-0.7911293451174163,-0.59196328408751,-0.5999776188257805,-0.5861922698850124,-0.5861922698850124,right,False
sparse,0.9,0.0,exponential,3,2,10,0,-1.3414139502937414,-0.39979647492228343,-1.2151964834821893,-1.2439445368783937,-0.39979647492228343,down,False
sparse,0.9,0.0,exponential,3,2,10,1,-0.6572350895898935,-0.5565775076173501,-0.5632635919292484,-0.569345803306823,-0.5565775076173501,down,False
sparse,0.9,0.0,exponential,3,2,11,0,-1.4984551233323733,-1.251223095449082,-1.223588499892942,-1.3509627065367023,-1.223588499892942,left,False
sparse,0.9,0.0,exponential,3,2,11,1,-0.6130745666466768,-0.5915844378901913,-0.5866012855892265,-0.5950844433666316,-0.5866012855892265,left,False
sparse,0.9,0.0,exponential,3,2,12,0,-1.5118618513170996,-1.5168499948984937,-1.2886023131836748,-1.6147560913906467,-1.2886023131836748,left,False
sparse,0.9,0.0,exponential,3,2,12,1,-0.5868074977969157,-0.7553499401478129,-0.5833309175309975,-0.6012183237275861,-0.5833309175309975,left,False
sparse,0.9,0.0,exponential,3,2,13,0,-1.6144002619837374,-1.9179549707730907,-1.4137173900347353,-1.603736369146864,-1.4137173900347353,left,False
sparse,0.9,0.0,exponential,3,2,13,1,-0.6565140453633702,-1.1242779273825734,-0.5803887342982645,-0.5795827057308838,-0.5795827057308838,right,False
sparse,0.9,0.0,exponential,3,2,14,0,-1.6817520526393577,-1.5962159583888471,-1.5990301743144872,-1.5301671481708707,-1.5301671481708707,right,False
