reward_mode,gamma,epsilon_schedule,seed,episode,step,state_row,state_column,has_key_before,selected_action,executed_action,reward,next_row,next_column,has_key_after,done,event,epsilon,alpha,old_q,next_max_q,td_target,td_error,new_q
sparse,0.9,linear,3,3000,22,12,3,1,right,right,-0.1,12,4,1,False,normal_move,0.05,0.1,13.777905435902252,15.772007784800405,14.094807006320364,0.3169015704181124,13.809595592944063
sparse,0.9,linear,3,3000,23,12,4,1,right,right,-0.1,12,5,1,False,normal_move,0.05,0.1,15.772007784800405,17.954317339377408,16.058885605439666,0.2868778206392619,15.80069556686433
sparse,0.9,linear,3,3000,24,12,5,1,right,right,-0.1,12,6,1,False,normal_move,0.05,0.1,17.954317339377408,20.000227012540577,17.90020431128652,-0.054113028090888804,17.948906036568317
sparse,0.9,linear,3,3000,25,12,6,1,right,right,-0.1,12,7,1,False,normal_move,0.05,0.1,20.000227012540577,22.43612507707333,20.092512569365997,0.09228555682541995,20.009455568223117
sparse,0.9,linear,3,3000,26,12,7,1,down,right,-0.1,12,8,1,False,normal_move,0.05,0.1,22.43612507707333,25.82547068365226,23.14292361528703,0.7067985382137003,22.506804930894702
sparse,0.9,linear,3,3000,27,12,8,1,down,down,-0.1,13,8,1,False,normal_move,0.05,0.1,25.82547068365226,31.34781648975942,28.113034840783477,2.287564157131218,26.05422709936538
sparse,0.9,linear,3,3000,28,13,8,1,down,down,-0.1,14,8,1,False,normal_move,0.05,0.1,31.34781648975942,35.95326128853706,32.25793515968335,0.9101186699239285,31.438828356751813
sparse,0.9,linear,3,3000,29,14,8,1,right,down,-0.1,15,8,1,False,normal_move,0.05,0.1,35.95326128853706,36.5575113775802,32.80176023982218,-3.151501048714877,35.63811118366557
sparse,0.9,linear,3,3000,30,15,8,1,right,right,-0.1,15,9,1,False,normal_move,0.05,0.1,36.5575113775802,44.403473463884566,39.86312611749611,3.30561473991591,36.88807285157179
sparse,0.9,linear,3,3000,31,15,9,1,right,right,-0.1,15,10,1,False,normal_move,0.05,0.1,44.403473463884566,50.77438330801258,45.59694497721132,1.193471513326756,44.52282061521724
sparse,0.9,linear,3,3000,32,15,10,1,right,right,-0.1,15,11,1,False,normal_move,0.05,0.1,50.77438330801258,63.01229349294807,56.61106414365326,5.836680835640678,51.35805139157665
sparse,0.9,linear,3,3000,33,15,11,1,right,right,-0.1,15,12,1,False,normal_move,0.05,0.1,63.01229349294807,72.6488875249191,65.2839987724272,2.2717052794791286,63.23946402089598
sparse,0.9,linear,3,3000,34,15,12,1,right,right,-0.1,15,13,1,False,normal_move,0.05,0.1,72.6488875249191,79.01156567598916,71.01040910839025,-1.638478416528855,72.48503968326622
sparse,0.9,linear,3,3000,35,15,13,1,right,right,-0.1,15,14,1,False,door_passed,0.05,0.1,79.01156567598916,91.96230154973513,82.66607139476163,3.6545057187724694,79.37701624786641
sparse,0.9,linear,3,3000,36,15,14,1,right,right,100.0,15,15,1,True,goal_reached,0.05,0.1,91.96230154973513,0.0,100.0,8.03769845026487,92.76607139476161
